No Records;Hazards;No hazards;Total deaths;Total affected;Total damages;Time lag;Spatial overlap
1;"[""fl""]";1;16.0;22.0;;91.0;0.5
2;"[""fl"", ""ls"", ""ew""]";3;27.0;540151.0;15023628.0;91.0;0.5
1;"[""ew""]";1;9.0;;85.0;91.0;0.5
1;"[""fl"", ""ls""]";2;20.0;462.0;;91.0;0.5
1;"[""ew""]";1;8.0;411.0;120665.0;91.0;0.5
1;"[""ls""]";1;11.0;;;91.0;0.5
2;"[""ls"", ""fl""]";2;63.0;153000.0;;91.0;0.5
3;"[""fl"", ""eq"", ""ls"", ""fl""]";4;;44428.0;;91.0;0.5
1;"[""fl""]";1;2.0;100000.0;;91.0;0.5
3;"[""fl"", ""fl"", ""fl""]";3;1881.0;;;91.0;0.5
1;"[""ew""]";1;6.0;207.0;;91.0;0.5
7;"[""ew"", ""fl"", ""fl"", ""fl"", ""dr"", ""hw"", ""ew""]";7;;;;91.0;0.5
1;"[""fl""]";1;;500.0;8166.0;91.0;0.5
1;"[""fl""]";1;9.0;28000.0;;91.0;0.5
1;"[""fl""]";1;;1000.0;;91.0;0.5
1;"[""ew""]";1;;10000.0;;91.0;0.5
1;"[""ls""]";1;17.0;300.0;;91.0;0.5
1;"[""fl""]";1;;1000.0;;91.0;0.5
1;"[""fl""]";1;2.0;;;91.0;0.5
1;"[""ew""]";1;;500.0;;91.0;0.5
1;"[""ew""]";1;14.0;62570.0;471545.0;91.0;0.5
1;"[""cw""]";1;66.0;;;91.0;0.5
1;"[""fl""]";1;13.0;20004.0;;91.0;0.5
1;"[""ew""]";1;1.0;100.0;;91.0;0.5
1;"[""eq""]";1;1.0;791.0;;91.0;0.5
1;"[""ls""]";1;40.0;17.0;;91.0;0.5
1;"[""eq"", ""ls""]";2;;7132.0;849753.0;91.0;0.5
2;"[""ew"", ""ew""]";2;2.0;2510.0;;91.0;0.5
1;"[""ls""]";1;13.0;;;91.0;0.5
1;"[""ew""]";1;;1000.0;;91.0;0.5
2;"[""fl"", ""cw""]";2;;1275.0;;91.0;0.5
1;"[""fl""]";1;;600.0;;91.0;0.5
1;"[""fl""]";1;6.0;5000.0;;91.0;0.5
4;"[""dr"", ""ew"", ""fl"", ""ew"", ""fl"", ""ls""]";6;;;;91.0;0.5
1;"[""fl""]";1;9.0;5.0;;91.0;0.5
1;"[""ls""]";1;16.0;1500.0;560837.0;91.0;0.5
1;"[""fl""]";1;25.0;43000.0;13596043.0;91.0;0.5
1;"[""ls""]";1;30.0;180.0;;91.0;0.5
1;"[""cw""]";1;11.0;;;91.0;0.5
1;"[""fl""]";1;6.0;534035.0;;91.0;0.5
