Event1;Event2;Area_intersection;Percent1;Percent2;Percent;StartDate1;StartDate2;Timelag
2000-0396-PHL;2000-0597-PHL;37.0;1.0;1.0;1.0;2000-07-05 00:00:00+00:00;2000-09-04 00:00:00+00:00;61.0
2000-0396-PHL;2000-0706-PHL;37.0;1.0;0.0;1.0;2000-07-05 00:00:00+00:00;2000-10-28 00:00:00+00:00;115.0
2000-0396-PHL;2000-0715-PHL;37.0;1.0;0.0;1.0;2000-07-05 00:00:00+00:00;2000-11-03 00:00:00+00:00;121.0
2000-0397-PHL;2000-0597-PHL;37.0;0.0;1.0;1.0;2000-07-07 00:00:00+00:00;2000-09-04 00:00:00+00:00;59.0
2000-0398-CYP;2000-9173-CYP;2948.0;1.0;0.35;1.0;2000-07-01 00:00:00+00:00;2000-03-01 00:00:00+00:00;122.0
2000-0401-THA;2000-0539-THA;4751.0;0.87;0.19;0.87;2000-06-21 00:00:00+00:00;2000-08-21 00:00:00+00:00;61.0
2000-0421-ARG;2000-0776-ARG;4751.0;0.0;1.0;1.0;2000-06-17 00:00:00+00:00;2000-11-22 00:00:00+00:00;158.0
2000-0425-CHN;2000-0532-CHN;1975.0;0.0;0.99;0.99;2000-07-13 00:00:00+00:00;2000-08-01 00:00:00+00:00;19.0
2000-0426-CHN;2000-0472-CHN;656224.0;1.0;0.68;1.0;2000-07-18 00:00:00+00:00;2000-07-11 00:00:00+00:00;7.0
2000-0428-JPN;2000-0447-JPN;2738.0;1.0;1.0;1.0;2000-07-01 00:00:00+00:00;2000-07-08 00:00:00+00:00;7.0
2000-0428-JPN;2000-0515-JPN;2738.0;1.0;1.0;1.0;2000-07-01 00:00:00+00:00;2000-08-10 00:00:00+00:00;40.0
2000-0433-USA;2000-0614-USA;2420.0;0.0;1.0;1.0;2000-07-01 00:00:00+00:00;2000-09-20 00:00:00+00:00;81.0
2000-0433-USA;2000-9339-USA;1303465.0;1.0;0.71;1.0;2000-07-01 00:00:00+00:00;2000-06-01 00:00:00+00:00;30.0
2000-0441-KOR;2000-0535-KOR;17029.0;1.0;0.28;1.0;2000-07-22 00:00:00+00:00;2000-08-26 00:00:00+00:00;35.0
2000-0441-KOR;2001-0010-KOR;17029.0;1.0;0.23;1.0;2000-07-22 00:00:00+00:00;2001-01-08 00:00:00+00:00;170.0
2000-0444-IND;2000-0445-IND;105383.0;1.0;0.06;1.0;2000-07-01 00:00:00+00:00;2000-08-02 00:00:00+00:00;32.0
2000-0445-IND;2000-0610-IND;33947.0;0.02;0.77;0.77;2000-08-02 00:00:00+00:00;2000-09-18 00:00:00+00:00;47.0
2000-0445-IND;2000-0785-IND;173859.0;0.1;0.88;0.88;2000-08-02 00:00:00+00:00;2000-11-29 00:00:00+00:00;119.0
2000-0445-IND;2001-0011-IND;488533.0;0.29;1.0;1.0;2000-08-02 00:00:00+00:00;2001-01-01 00:00:00+00:00;152.0
2000-0445-IND;2001-0033-IND;177711.0;0.11;1.0;1.0;2000-08-02 00:00:00+00:00;2001-01-26 00:00:00+00:00;177.0
