Event1;Event2;Area_intersection;Percent1;Percent2;Percent;StartDate1;StartDate2;Timelag
2015-0510-CHN;2016-0023-CHN;22225.0;1.0;0.02;1.0;2015-11-13 00:00:00+00:00;2016-01-20 00:00:00+00:00;68.0
2015-0531-USA;2015-0558-USA;277708.0;0.18;0.11;0.18;2015-11-25 00:00:00+00:00;2015-12-26 00:00:00+00:00;31.0
2015-0533-CHN;2016-0023-CHN;15221.0;0.06;0.01;0.06;2015-11-10 00:00:00+00:00;2016-01-20 00:00:00+00:00;71.0
2015-0534-CHN;2016-0023-CHN;631221.0;0.28;0.61;0.61;2015-11-22 00:00:00+00:00;2016-01-20 00:00:00+00:00;59.0
2015-0558-USA;2015-0565-USA;1615709.0;0.63;0.91;0.91;2015-12-26 00:00:00+00:00;2015-12-15 00:00:00+00:00;11.0
2015-0558-USA;2016-0085-USA;1181040.0;0.46;0.38;0.46;2015-12-26 00:00:00+00:00;2016-03-04 00:00:00+00:00;69.0
2015-0558-USA;2016-0552-USA;380541.0;0.15;0.69;0.69;2015-12-26 00:00:00+00:00;2016-03-08 00:00:00+00:00;73.0
2015-0565-USA;2016-0085-USA;1068522.0;0.6;0.34;0.6;2015-12-15 00:00:00+00:00;2016-03-04 00:00:00+00:00;80.0
2015-0565-USA;2016-0552-USA;545731.0;0.31;0.99;0.99;2015-12-15 00:00:00+00:00;2016-03-08 00:00:00+00:00;84.0
2015-0571-PAK;2016-0553-PAK;0.0;0.0;0.0;0.0;2015-12-25 00:00:00+00:00;2016-03-09 00:00:00+00:00;75.0
2015-0575-JPN;2015-0611-JPN;2738.0;0.24;0.06;0.24;2015-08-03 00:00:00+00:00;2015-07-12 00:00:00+00:00;22.0
2016-0004-TON;2016-0041-TON;250.0;0.61;1.0;1.0;2016-01-02 00:00:00+00:00;2016-02-19 00:00:00+00:00;48.0
2016-0012-USA;2016-0085-USA;38369.0;1.0;0.01;1.0;2016-01-04 00:00:00+00:00;2016-03-04 00:00:00+00:00;60.0
2016-0023-CHN;2016-0137-CHN;150582.0;0.15;0.06;0.15;2016-01-20 00:00:00+00:00;2016-04-20 00:00:00+00:00;91.0
