;Records;No records;Hazards;No hazards
2000-0446-THA;"[""2000-0446-THA""]";1;"[""fl""]";1
2000-0486-PRY;"[""2000-0486-PRY""]";1;"[""cw""]";1
2000-0398-CYP;"[""2000-0398-CYP""]";1;"[""hw""]";1
2000-0408-VNM;"[""2000-0408-VNM""]";1;"[""fl""]";1
2000-0423-CHL;"[""2000-0310-CHL"", ""2000-0423-CHL""]";2;"[""fl"", ""cw""]";2
2000-0524-ETH;"[""2000-0524-ETH""]";1;"[""ls""]";1
2000-0396-PHL;"[""2000-0396-PHL""]";1;"[""ew""]";1
2000-0427-UKR;"[""2000-0427-UKR""]";1;"[""ew""]";1
2000-0387-NIC;"[""2000-0387-NIC""]";1;"[""eq""]";1
2000-0397-PHL;"[""2000-0396-PHL"", ""2000-0397-PHL""]";2;"[""ew"", ""ew""]";2
2000-0447-JPN;"[""2000-0428-JPN"", ""2000-0447-JPN""]";2;"[""eq"", ""ew""]";2
2000-0490-SOM;"[""2000-0490-SOM""]";1;"[""fl""]";1
2000-0414-PHL;"[""2000-0414-PHL""]";1;"[""ls""]";1
2000-0775-FRA;"[""2000-0775-FRA""]";1;"[""fl""]";1
2000-0448-VNM;"[""2000-0448-VNM""]";1;"[""ew""]";1
2000-0472-CHN;"[""2000-0472-CHN""]";1;"[""fl"", ""ls""]";2
2000-0438-KHM;"[""2000-0438-KHM""]";1;"[""fl""]";1
2000-0415-IND;"[""2000-0415-IND""]";1;"[""ls""]";1
2000-0449-IDN;"[""2000-0449-IDN""]";1;"[""eq""]";1
2000-0425-CHN;"[""2000-0425-CHN""]";1;"[""ew""]";1
2000-0420-CAN;"[""2000-0420-CAN""]";1;"[""ew""]";1
2000-0426-CHN;"[""2000-0472-CHN"", ""2000-0426-CHN""]";2;"[""fl"", ""ls"", ""fl""]";3
2000-0457-RUS;"[""2000-0457-RUS""]";1;"[""ls""]";1
2000-0441-KOR;"[""2000-0441-KOR""]";1;"[""fl""]";1
2000-0439-VNM;"[""2000-0439-VNM""]";1;"[""ls""]";1
2000-0603-UKR;"[""2000-0603-UKR""]";1;"[""ew""]";1
2000-0463-USA;"[""2000-0463-USA""]";1;"[""ew""]";1
2000-0507-SEN;"[""2000-0507-SEN""]";1;"[""fl""]";1
2000-0466-BRA;"[""2000-0466-BRA""]";1;"[""ls""]";1
2000-0478-RUS;"[""2000-0478-RUS""]";1;"[""fl""]";1
2000-0502-USA;"[""2000-0502-USA""]";1;"[""fl""]";1
2000-9494-UZB;"[""2000-9494-UZB""]";1;"[""dr""]";1
2000-9327-JOR;"[""2000-9327-JOR""]";1;"[""dr""]";1
2000-9531-CHN;"[""2000-9531-CHN""]";1;"[""dr""]";1
2000-0487-MAR;"[""2000-0487-MAR""]";1;"[""hw""]";1
2000-9537-BIH;"[""2000-9537-BIH""]";1;"[""dr"", ""hw""]";2
2000-0532-CHN;"[""2000-0425-CHN"", ""2000-0532-CHN""]";2;"[""ew"", ""ew""]";2
2000-0556-CHN;"[""2000-0472-CHN"", ""2000-0556-CHN""]";2;"[""fl"", ""ls"", ""ew""]";3
2000-9495-GEO;"[""2000-9495-GEO""]";1;"[""dr""]";1
2000-0354-RUS;"[""2000-0354-RUS""]";1;"[""fl""]";1
2000-9496-CUB;"[""2000-9496-CUB""]";1;"[""dr""]";1
2000-0484-BTN;"[""2000-0484-BTN""]";1;"[""fl"", ""ls""]";2
2000-0445-IND;"[""2000-0445-IND""]";1;"[""fl""]";1
2000-0475-CMR;"[""2000-0475-CMR""]";1;"[""fl""]";1
2000-0480-RUS;"[""2000-0478-RUS"", ""2000-0480-RUS""]";2;"[""fl"", ""eq"", ""ls""]";3
2000-0485-DZA;"[""2000-0485-DZA""]";1;"[""fl""]";1
2000-0499-IRN;"[""2000-0499-IRN""]";1;"[""fl""]";1
2000-0111-MEX;"[""2000-0111-MEX""]";1;"[""eq""]";1
2000-0515-JPN;"[""2000-0515-JPN""]";1;"[""vo""]";1
2000-0497-ETH;"[""2000-0497-ETH""]";1;"[""fl""]";1
2000-0498-IND;"[""2000-0498-IND""]";1;"[""ls""]";1
2000-0500-USA;"[""2000-0500-USA""]";1;"[""fl"", ""ls""]";2
2000-0559-CHN;"[""2000-0559-CHN""]";1;"[""ls""]";1
2000-0511-NGA;"[""2000-0511-NGA""]";1;"[""fl""]";1
2000-0547-NGA;"[""2000-0547-NGA""]";1;"[""fl""]";1
2000-0551-DZA;"[""2000-0551-DZA""]";1;"[""fl""]";1
