Record1;Record2;Area_intersection;Percent1;Percent2;Percent;StartDate1;StartDate2;Timelag
2006-0550-SOM;2006-0618-SOM;4776.0;0.96;0.21;0.96;2006-08-24 00:00:00+00:00;2006-10-26 00:00:00+00:00;63.0
2006-0586-CHN;2006-9741-CHN;253740.0;1.0;0.12;1.0;2006-10-27 00:00:00+00:00;2006-05-01 00:00:00+00:00;179.0
2006-0587-KEN;2006-0624-KEN;199456.0;0.85;0.78;0.85;2006-10-15 00:00:00+00:00;2006-10-23 00:00:00+00:00;8.0
2006-0595-USA;2006-0642-USA;4195.0;0.0;0.31;0.31;2006-11-15 00:00:00+00:00;2006-10-12 00:00:00+00:00;34.0
2006-0595-USA;2007-0041-USA;1153670.0;0.39;0.64;0.64;2006-11-15 00:00:00+00:00;2007-01-15 00:00:00+00:00;61.0
2006-0595-USA;2007-0066-USA;205253.0;0.07;0.27;0.27;2006-11-15 00:00:00+00:00;2007-02-14 00:00:00+00:00;91.0
2006-0595-USA;2007-0156-USA;948521.0;0.32;1.0;1.0;2006-11-15 00:00:00+00:00;2007-04-24 00:00:00+00:00;160.0
2006-0595-USA;2007-0689-USA;1153651.0;0.39;0.81;0.81;2006-11-15 00:00:00+00:00;2007-02-23 00:00:00+00:00;100.0
2006-0596-AFG;2006-9570-AFG;9789.0;1.0;0.03;1.0;2006-11-16 00:00:00+00:00;2006-07-01 00:00:00+00:00;138.0
2006-0596-AFG;2007-0105-AFG;9797.0;1.0;0.04;1.0;2006-11-16 00:00:00+00:00;2007-03-18 00:00:00+00:00;122.0
2006-0598-USA;2006-0744-USA;866739.0;1.0;1.0;1.0;2006-11-05 00:00:00+00:00;2006-12-14 00:00:00+00:00;39.0
2006-0600-PHL;2006-0610-PHL;14681.0;0.37;0.71;0.71;2006-10-30 00:00:00+00:00;2006-11-13 00:00:00+00:00;14.0
2006-0601-IND;2006-0712-IND;173839.0;1.0;0.34;1.0;2006-10-26 00:00:00+00:00;2006-08-01 00:00:00+00:00;86.0
2006-0604-MEX;2006-0709-MEX;65381.0;1.0;0.03;1.0;2006-10-25 00:00:00+00:00;2006-11-01 00:00:00+00:00;7.0
2006-0617-ESP;2007-0132-ESP;28559.0;0.44;0.18;0.44;2006-10-22 00:00:00+00:00;2007-04-03 00:00:00+00:00;163.0
2006-0642-USA;2007-0066-USA;7587.0;0.55;0.01;0.55;2006-10-12 00:00:00+00:00;2007-02-14 00:00:00+00:00;125.0
2006-0642-USA;2007-0083-USA;4195.0;0.31;0.0;0.31;2006-10-12 00:00:00+00:00;2007-03-01 00:00:00+00:00;140.0
2006-0648-PHL;2006-0667-PHL;12927.0;0.67;0.12;0.67;2006-11-30 00:00:00+00:00;2006-12-11 00:00:00+00:00;11.0
2006-0649-MWI;2007-0008-MWI;5307.0;1.0;0.72;1.0;2006-11-27 00:00:00+00:00;2007-01-08 00:00:00+00:00;42.0
2006-0663-PAK;2007-0007-PAK;20330.0;1.0;1.0;1.0;2006-12-01 00:00:00+00:00;2007-01-05 00:00:00+00:00;35.0
2006-0663-PAK;2007-0093-PAK;20330.0;1.0;0.32;1.0;2006-12-01 00:00:00+00:00;2007-03-21 00:00:00+00:00;110.0
2006-0668-IDN;2007-0087-IDN;3120.0;0.95;0.27;0.95;2006-12-15 00:00:00+00:00;2007-03-06 00:00:00+00:00;81.0
2006-0680-MYS;2007-0021-MYS;41669.0;0.68;1.0;1.0;2006-12-19 00:00:00+00:00;2007-01-11 00:00:00+00:00;23.0
2006-0701-BDI;2007-0028-BDI;4020.0;0.49;0.71;0.71;2006-12-01 00:00:00+00:00;2007-01-01 00:00:00+00:00;31.0
2006-0702-PHL;2007-0022-PHL;9699.0;0.82;0.45;0.82;2006-12-27 00:00:00+00:00;2007-01-10 00:00:00+00:00;14.0
2006-0706-USA;2007-0048-USA;4049.0;1.0;0.29;1.0;2006-12-25 00:00:00+00:00;2007-02-02 00:00:00+00:00;39.0
2006-0718-USA;2007-0173-USA;348826.0;1.0;0.22;1.0;2006-12-27 00:00:00+00:00;2007-05-24 00:00:00+00:00;148.0
2006-0732-CHN;2006-9741-CHN;492699.0;0.7;0.24;0.7;2006-05-04 00:00:00+00:00;2006-05-01 00:00:00+00:00;3.0
2006-0737-BGD;2006-0738-BGD;4173.0;0.11;0.58;0.58;2006-04-05 00:00:00+00:00;2006-04-08 00:00:00+00:00;3.0
2007-0003-BRA;2007-0015-BRA;1346.0;0.0;1.0;1.0;2007-01-01 00:00:00+00:00;2007-01-10 00:00:00+00:00;9.0
2007-0007-PAK;2007-0093-PAK;20330.0;1.0;0.32;1.0;2007-01-05 00:00:00+00:00;2007-03-21 00:00:00+00:00;75.0
2007-0010-ZMB;2007-0040-ZMB;18580.0;0.05;0.42;0.42;2007-01-10 00:00:00+00:00;2007-01-20 00:00:00+00:00;10.0
2007-0011-IDN;2007-0087-IDN;1338.0;0.98;0.12;0.98;2007-01-09 00:00:00+00:00;2007-03-06 00:00:00+00:00;56.0
2007-0041-USA;2007-0066-USA;207825.0;0.11;0.28;0.28;2007-01-15 00:00:00+00:00;2007-02-14 00:00:00+00:00;30.0
2007-0041-USA;2007-0083-USA;294559.0;0.16;0.25;0.25;2007-01-15 00:00:00+00:00;2007-03-01 00:00:00+00:00;45.0
2007-0041-USA;2007-0156-USA;948521.0;0.52;1.0;1.0;2007-01-15 00:00:00+00:00;2007-04-24 00:00:00+00:00;99.0
2007-0041-USA;2007-0173-USA;948532.0;0.52;0.6;0.6;2007-01-15 00:00:00+00:00;2007-05-24 00:00:00+00:00;129.0
2007-0041-USA;2007-0254-USA;948521.0;0.52;0.78;0.78;2007-01-15 00:00:00+00:00;2007-06-17 00:00:00+00:00;153.0
2007-0041-USA;2007-0689-USA;1153652.0;0.64;0.81;0.81;2007-01-15 00:00:00+00:00;2007-02-23 00:00:00+00:00;39.0
2007-0083-USA;2007-0359-USA;294559.0;0.25;0.19;0.25;2007-03-01 00:00:00+00:00;2007-08-16 00:00:00+00:00;168.0
2007-0093-PAK;2007-0241-PAK;35566.0;0.56;0.85;0.85;2007-03-21 00:00:00+00:00;2007-06-28 00:00:00+00:00;99.0
2007-0101-JPN;2007-0358-JPN;27543.0;1.0;0.07;1.0;2007-03-25 00:00:00+00:00;2007-08-01 00:00:00+00:00;129.0
2007-0105-AFG;2007-0316-AFG;53442.0;0.22;1.0;1.0;2007-03-18 00:00:00+00:00;2007-07-15 00:00:00+00:00;119.0
2007-0108-FJI;2007-0592-FJI;19197.0;1.0;1.0;1.0;2007-02-03 00:00:00+00:00;2007-03-09 00:00:00+00:00;34.0
2007-0128-PAK;2007-0255-PAK;21810.0;0.99;0.2;0.99;2007-03-30 00:00:00+00:00;2007-06-16 00:00:00+00:00;78.0
2007-0128-PAK;2007-0284-PAK;21810.0;0.99;0.2;0.99;2007-03-30 00:00:00+00:00;2007-07-20 00:00:00+00:00;112.0
2007-0128-PAK;2007-0412-PAK;21810.0;0.99;0.2;0.99;2007-03-30 00:00:00+00:00;2007-08-12 00:00:00+00:00;135.0
2007-0135-URY;2007-0183-URY;58285.0;0.86;0.45;0.86;2007-03-20 00:00:00+00:00;2007-05-04 00:00:00+00:00;45.0
2007-0156-USA;2007-0173-USA;948521.0;1.0;0.6;1.0;2007-04-24 00:00:00+00:00;2007-05-24 00:00:00+00:00;30.0
2007-0156-USA;2007-0254-USA;948521.0;1.0;0.78;1.0;2007-04-24 00:00:00+00:00;2007-06-17 00:00:00+00:00;54.0
2007-0156-USA;2007-0359-USA;948521.0;1.0;0.63;1.0;2007-04-24 00:00:00+00:00;2007-08-16 00:00:00+00:00;114.0
2007-0156-USA;2007-0689-USA;948521.0;1.0;0.67;1.0;2007-04-24 00:00:00+00:00;2007-02-23 00:00:00+00:00;60.0
2007-0161-BGD;2007-0227-BGD;2481.0;0.07;1.0;1.0;2007-06-11 00:00:00+00:00;2007-05-15 00:00:00+00:00;27.0
2007-0161-BGD;2007-0311-BGD;10139.0;0.28;0.28;0.28;2007-06-11 00:00:00+00:00;2007-07-21 00:00:00+00:00;40.0
2007-0166-CHN;2007-0380-CHN;213686.0;1.0;0.22;1.0;2007-06-01 00:00:00+00:00;2007-08-18 00:00:00+00:00;78.0
2007-0166-CHN;2007-0387-CHN;213557.0;1.0;0.22;1.0;2007-06-01 00:00:00+00:00;2007-08-18 00:00:00+00:00;78.0
2007-0167-DOM;2007-0523-DOM;16801.0;0.79;0.38;0.79;2007-05-30 00:00:00+00:00;2007-10-28 00:00:00+00:00;151.0
2007-0167-HTI;2007-0360-HTI;898.0;1.0;0.03;1.0;2007-05-30 00:00:00+00:00;2007-08-18 00:00:00+00:00;80.0
2007-0167-HTI;2007-0496-HTI;898.0;1.0;0.04;1.0;2007-05-30 00:00:00+00:00;2007-10-07 00:00:00+00:00;130.0
2007-0171-BGR;2007-0322-BGR;7866.0;0.19;0.38;0.38;2007-05-22 00:00:00+00:00;2007-08-04 00:00:00+00:00;74.0
2007-0171-BGR;2007-0554-BGR;11557.0;0.28;0.86;0.86;2007-05-22 00:00:00+00:00;2007-11-16 00:00:00+00:00;178.0
2007-0173-USA;2007-0254-USA;1222996.0;0.78;1.0;1.0;2007-05-24 00:00:00+00:00;2007-06-17 00:00:00+00:00;24.0
2007-0173-USA;2007-0359-USA;1223007.0;0.78;0.81;0.81;2007-05-24 00:00:00+00:00;2007-08-16 00:00:00+00:00;84.0
