Events;No events;Hazards;No hazards;Total deaths;Total affected;Total damages;Time lag;Spatial overlap
['2000-0335-ISL', '2000-0076-ISL'];2;"[""eq"", ""eq""]";2;;199.0;40788.0;182;1
['2000-0401-THA'];1;"[""fl""]";1;;2500.0;;182;1
['2000-0469-IDN'];1;"[""ls""]";1;;520.0;;182;1
['2000-0373-BGD'];1;"[""fl"", ""ls""]";2;11.0;200050.0;;182;1
['2000-0003-BGD', '2000-0631-BGD'];2;"[""cw"", ""ew""]";2;;;;182;1
['2000-0374-CRI'];1;"[""ls""]";1;7.0;200.0;;182;1
['2000-0399-ETH'];1;"[""fl""]";1;60.0;;;182;1
['2000-0416-BOL'];1;"[""cw""]";1;6.0;25277.0;;182;1
['2000-0422-URY'];1;"[""cw""]";1;7.0;400.0;;182;1
['2000-0473-ISR'];1;"[""hw""]";1;;;;182;1
['2000-0379-GRC'];1;"[""hw""]";1;27.0;176.0;5099.0;182;1
['2000-0383-SCG'];1;"[""hw""]";1;3.0;70.0;;182;1
['2000-0501-NER'];1;"[""fl""]";1;2.0;4159.0;;182;1
['2000-0380-ROU'];1;"[""hw""]";1;6.0;100.0;;182;1
['2000-0456-BRA'];1;"[""cw""]";1;7.0;;;182;1
['2000-0446-THA'];1;"[""fl""]";1;47.0;2500000.0;86760.0;182;1
['2000-0486-PRY'];1;"[""cw""]";1;8.0;;;182;1
['2000-9173-CYP', '2000-0398-CYP'];2;"[""dr"", ""hw""]";2;;;;182;1
['2000-0408-VNM'];1;"[""fl""]";1;460.0;5000004.0;424876.0;182;1
['2000-0310-CHL', '2000-0423-CHL'];2;"[""fl"", ""cw""]";2;;;;182;1
['2000-0524-ETH'];1;"[""ls""]";1;4.0;165.0;;182;1
['2000-0337-UKR', '2000-0427-UKR'];2;"[""cw"", ""ew""]";2;;;;182;1
['2000-0387-NIC'];1;"[""eq""]";1;7.0;7477.0;;182;1
['2000-0490-SOM'];1;"[""fl""]";1;;220000.0;;182;1
['2000-0414-PHL'];1;"[""ls""]";1;287.0;2838.0;;182;1
['2000-0775-FRA'];1;"[""fl""]";1;1.0;600.0;;182;1
['2000-0448-VNM'];1;"[""ew""]";1;;2005.0;;182;1
['2000-0438-KHM'];1;"[""fl""]";1;347.0;3448053.0;271921.0;182;1
['2000-0415-IND'];1;"[""ls""]";1;58.0;7038.0;;182;1
['2000-0425-CHN'];1;"[""ew""]";1;11.0;20500.0;816.0;182;1
['2000-0420-CAN'];1;"[""ew""]";1;11.0;840.0;22094.0;182;1
