Dis No 1;Dis No 2;Hazard 1;Hazard 2;Start Date 1;End Date 1;Start Date 2;End Date 2;Country 1;Country 2;Magnitude 1;Magnitude 2;Total Deaths 1;Total Deaths 2;Total Deaths 12;Total Affected 1;Total Affected 2;Total Affected 12;Total Damages 1;Total Damages 2;Total Damages 12
2003-0183-CHN;2003-0209-CHN;eq;eq;2003-04-17 00:00:00+00:00;2003-04-17 00:00:00+00:00;2003-05-04 00:00:00+00:00;2003-05-04 00:00:00+00:00;China;China;6.0;6.0;;1.0;;3300.0;8003.0;11303.0;;;
2003-0212-AZE;;fl;ls;2003-04-16 00:00:00+00:00;2003-06-04 00:00:00+00:00;;;Azerbaijan;Azerbaijan;30870.0;;;;;;;31500.0;;;87498.0
2003-0220-NAM;;fl;;2003-05-12 00:00:00+00:00;2003-05-12 00:00:00+00:00;;;Namibia;;400.0;;2.0;;;12000.0;;;;;
2003-0229-LKA;;fl;ls;2003-05-17 00:00:00+00:00;2003-05-26 00:00:00+00:00;;;Sri Lanka;Sri Lanka;13490.0;;;;235.0;;;695000.0;;;46135.0
2003-0231-CAN;;fl;;2003-03-31 00:00:00+00:00;2003-04-03 00:00:00+00:00;;;Canada;;13530.0;;2.0;;;170.0;;;15909.0;;
2003-0232-IRN;;fl;;2003-03-26 00:00:00+00:00;2003-03-27 00:00:00+00:00;;;Iran (Islamic Republic of);;3000.0;;;;;1370.0;;;1333.0;;
2003-0233-MOZ;;fl;;2003-03-26 00:00:00+00:00;2003-03-28 00:00:00+00:00;;;Mozambique;;700.0;;2.0;;;15000.0;;;;;
2003-0234-IND;;ew;;2003-04-12 00:00:00+00:00;2003-04-12 00:00:00+00:00;;;India;;;;;;;460.0;;;;;
2003-0235-THA;;ew;;2003-04-11 00:00:00+00:00;2003-04-11 00:00:00+00:00;;;Thailand;;;;;;;5000.0;;;;;
2003-0240-PAK;;ls;;2003-05-02 00:00:00+00:00;2003-05-02 00:00:00+00:00;;;Pakistan;;;;12.0;;;;;;;;
2003-0254-IDN;;eq;;2003-05-27 00:00:00+00:00;2003-05-27 00:00:00+00:00;;;Indonesia;;7.0;;1.0;;;247.0;;;;;
2003-0259-KAZ;;eq;;2003-05-23 00:00:00+00:00;2003-05-23 00:00:00+00:00;;;Kazakhstan;;6.0;;3.0;;;36626.0;;;;;
2003-0273-TJK;;fl;ls;2003-06-06 00:00:00+00:00;2003-06-10 00:00:00+00:00;;;Tajikistan;Tajikistan;1700.0;;;;6.0;;;1755.0;;;31818.0
2003-0284-COL;;fl;ls;2003-06-14 00:00:00+00:00;2003-06-16 00:00:00+00:00;;;Colombia;Colombia;3350.0;;;;3.0;;;4000.0;;;
2003-0287-ASM;;fl;ls;2003-05-18 00:00:00+00:00;2003-05-19 00:00:00+00:00;;;American Samoa;American Samoa;174.0;;;;6.0;;;3.0;;;79544.0
2003-0292-AUS;2003-0288-AUS;fl;ew;2003-05-13 00:00:00+00:00;2003-05-18 00:00:00+00:00;2003-05-18 00:00:00+00:00;2003-05-18 00:00:00+00:00;Australia;Australia;5265.0;130.0;;;;300.0;270.0;570.0;;;
2003-0289-PHL;;fl;ls;2003-05-16 00:00:00+00:00;2003-05-16 00:00:00+00:00;;;Philippines (the);Philippines (the);;;;;;;;3500.0;;;
2003-0293-TLS;;fl;ls;2003-06-16 00:00:00+00:00;2003-06-20 00:00:00+00:00;;;Timor-Leste;Timor-Leste;12930.0;;;;3.0;;;600.0;;;
2003-0301-YEM;;fl;;2003-06-19 00:00:00+00:00;2003-06-21 00:00:00+00:00;;;Yemen;;;;15.0;;;;;;;;
2003-0314-SLB;;ew;ls;2003-06-05 00:00:00+00:00;2003-06-05 00:00:00+00:00;;;Solomon Islands;Solomon Islands;111.0;;;;;;;150.0;;;
2003-0337-AFG;;fl;;2003-07-12 00:00:00+00:00;2003-07-15 00:00:00+00:00;;;Afghanistan;;1440.0;;33.0;;;250.0;;;;;
2003-0343-JPN;;fl;ls;2003-07-19 00:00:00+00:00;2003-07-21 00:00:00+00:00;;;Japan;Japan;8080.0;;;;23.0;;;814.0;;;11136.0
2003-0368-ERI;;fl;;2003-07-28 00:00:00+00:00;2003-08-21 00:00:00+00:00;;;Eritrea;;;;;;;;;;;;
2003-0386-PNG;;ls;;2003-08-01 00:00:00+00:00;2003-08-01 00:00:00+00:00;;;Papua New Guinea;;;;;;;600.0;;;;;
2003-0393-RUS;;fl;;2003-07-29 00:00:00+00:00;2003-07-31 00:00:00+00:00;;;Russian Federation (the);;8220.0;;;;;600.0;;;;;
2003-0396-DZA;;fl;;2003-08-09 00:00:00+00:00;2003-08-11 00:00:00+00:00;;;Algeria;;78730.0;;13.0;;;;;;;;
2003-0400-GRC;;eq;ls;2003-08-14 00:00:00+00:00;2003-08-14 00:00:00+00:00;;;Greece;Greece;6.0;;;;;;;50.0;;;
2003-0411-PAN;;eq;;2003-08-13 00:00:00+00:00;2003-08-13 00:00:00+00:00;;;Panama;;5.0;;;;;340.0;;;;;
2003-0413-USA;;ew;;2003-08-08 00:00:00+00:00;2003-08-08 00:00:00+00:00;;;United States of America (the);;;;;;;1500.0;;;;;
2003-0414-IDN;;eq;;2003-08-11 00:00:00+00:00;2003-08-11 00:00:00+00:00;;;Indonesia;;6.0;;;;;500.0;;;;;
2003-0417-CAN;;fl;;2003-08-04 00:00:00+00:00;2003-08-05 00:00:00+00:00;;;Canada;;1990.0;;;;;400.0;;;15909.0;;
2003-0423-SAU;;fl;ls;2003-08-08 00:00:00+00:00;2003-08-12 00:00:00+00:00;;;Saudi Arabia;Saudi Arabia;;;;;;;;13000.0;;;
2003-0436-MEX;;ls;;2003-07-17 00:00:00+00:00;2003-07-18 00:00:00+00:00;;;Mexico;;;;10.0;;;200.0;;;;;
2003-0322-IRN;2003-0438-IRN;eq;eq;2003-07-03 00:00:00+00:00;2003-07-03 00:00:00+00:00;2003-07-10 00:00:00+00:00;2003-07-10 00:00:00+00:00;Iran (Islamic Republic of);Iran (Islamic Republic of);5.0;6.0;;1.0;;1091.0;17525.0;18616.0;;34468.0;
2003-0439-HTI;;fl;;2003-08-29 00:00:00+00:00;2003-08-30 00:00:00+00:00;;;Haiti;;160.0;;24.0;;;12070.0;;;;;
2003-0447-SOM;;fl;;2003-08-18 00:00:00+00:00;2003-08-20 00:00:00+00:00;;;Somalia;;550.0;;1.0;;;300.0;;;;;
2003-0455-NGA;;fl;;2003-09-05 00:00:00+00:00;2003-10-28 00:00:00+00:00;;;Nigeria;;134900.0;;16.0;;;210000.0;;;4089.0;;
2003-0469-TUN;;fl;ls;2003-09-16 00:00:00+00:00;2003-09-18 00:00:00+00:00;;;Tunisia;Tunisia;380.0;;;;4.0;;;;;;
2003-0477-DOM;;eq;ls;2003-09-22 00:00:00+00:00;2003-09-22 00:00:00+00:00;;;Dominican Republic (the);Dominican Republic (the);6.0;;;;3.0;;;2015.0;;;
2003-0481-HND;;fl;;2003-09-14 00:00:00+00:00;2003-09-15 00:00:00+00:00;;;Honduras;;;;3.0;;;105.0;;;;;
2003-0482-MEX;;fl;;2003-09-06 00:00:00+00:00;2003-09-10 00:00:00+00:00;;;Mexico;;;;2.0;;;50000.0;;;;;
2003-0487-CAN;;ew;fl;2003-09-28 00:00:00+00:00;2003-09-29 00:00:00+00:00;;;Canada;Canada;143.0;;;;2.0;;;200.0;;;174996.0
2003-0495-HTI;;ew;ls;2003-10-06 00:00:00+00:00;2003-10-06 00:00:00+00:00;;;Haiti;Haiti;;;;;26.0;;;155.0;;;
2003-0497-RUS;;eq;ls;2003-09-27 00:00:00+00:00;2003-09-27 00:00:00+00:00;;;Russian Federation (the);Russian Federation (the);7.0;;;;3.0;;;1805.0;;;16863.0
2003-0503-DZA;;fl;ls;2003-10-15 00:00:00+00:00;2003-10-18 00:00:00+00:00;;;Algeria;Algeria;51770.0;;;;13.0;;;;;;
2003-0520-COD;;ew;;2003-10-09 00:00:00+00:00;2003-10-09 00:00:00+00:00;;;Congo (the Democratic Republic of the);;;;11.0;;;73.0;;;;;
2003-0521-BRA;;fl;;2003-10-27 00:00:00+00:00;2003-10-31 00:00:00+00:00;;;Brazil;;73220.0;;4.0;;;2000.0;;;;;
2003-0523-GNB;;fl;;2003-10-01 00:00:00+00:00;;;;Guinea-Bissau;;;;;;;;;;;;
2003-0531-IDN;;fl;ls;2003-11-02 00:00:00+00:00;2003-11-03 00:00:00+00:00;;;Indonesia;Indonesia;600.0;;;;241.0;;;1498.0;;;
2003-0538-SAU;;fl;;2003-11-11 00:00:00+00:00;2003-11-11 00:00:00+00:00;;;Saudi Arabia;;;;12.0;;;50.0;;;;;
2003-0509-CHN;2003-0547-CHN;eq;eq;2003-10-16 00:00:00+00:00;2003-10-16 00:00:00+00:00;2003-11-14 00:00:00+00:00;2003-11-14 00:00:00+00:00;China;China;6.0;6.0;3.0;4.0;7.0;60056.0;493065.0;553121.0;95453.0;;
2003-0556-MAR;;fl;ls;2003-11-17 00:00:00+00:00;2003-11-18 00:00:00+00:00;;;Morocco;Morocco;;;;;35.0;;;10000.0;;;
2003-0560-AUS;;ew;fl;2003-10-24 00:00:00+00:00;2003-10-24 00:00:00+00:00;;;Australia;Australia;;;;;;;;1500.0;;;
2003-0561-THA;;fl;;2003-10-15 00:00:00+00:00;2003-10-15 00:00:00+00:00;;;Thailand;;;;3.0;;;3000.0;;;39772.0;;
2003-0563-RWA;;fl;;2003-10-30 00:00:00+00:00;2003-10-30 00:00:00+00:00;;;Rwanda;;;;;;;7016.0;;;;;
2003-0564-CAF;;fl;;2003-09-05 00:00:00+00:00;2003-09-05 00:00:00+00:00;;;Central African Republic;;;;;;;240.0;;;;;
2003-0570-AGO;;fl;;2003-11-22 00:00:00+00:00;2003-11-23 00:00:00+00:00;;;Angola;;;;6.0;;;225.0;;;;;
2003-0582-CHN;;eq;;2003-12-01 00:00:00+00:00;2003-12-01 00:00:00+00:00;;;China;;6.0;;11.0;;;6018.0;;;3075.0;;
2003-0586-FRA;;fl;ls;2003-12-02 00:00:00+00:00;2003-12-03 00:00:00+00:00;;;France;France;;;;;9.0;;;27000.0;;;2386314.0
2003-0594-CHN;;ew;;2003-11-18 00:00:00+00:00;2003-11-18 00:00:00+00:00;;;China;;;;;;;1720000.0;;;313304.0;;
;2003-0596-CHN;;eq;;;2003-11-26 00:00:00+00:00;2003-11-26 00:00:00+00:00;;China;;5.0;;;;;10004.0;;;;
2003-0599-DOM;;ew;fl;2003-12-06 00:00:00+00:00;2003-12-06 00:00:00+00:00;;;Dominican Republic (the);Dominican Republic (the);;;;;8.0;;;10000.0;;;
2003-0602-MDG;;ew;;2003-12-09 00:00:00+00:00;2003-12-09 00:00:00+00:00;;;Madagascar;;100.0;;;;;164.0;;;;;
2003-0616-AUS;;ew;;2003-12-09 00:00:00+00:00;2003-12-09 00:00:00+00:00;;;Australia;;;;;;;300.0;;;;;
2003-0620-TZA;;fl;;2003-12-20 00:00:00+00:00;2003-12-21 00:00:00+00:00;;;Tanzania, United Republic of;;;;;;;2000.0;;;;;
2003-0622-MEX;;cw;;2003-12-01 00:00:00+00:00;;;;Mexico;;-15.0;;21.0;;;;;;;;
2003-0624-HTI;;fl;ls;2003-12-20 00:00:00+00:00;2003-12-22 00:00:00+00:00;;;Haiti;Haiti;;;;;38.0;;;150000.0;;;
2003-0628-PAN;;eq;;2003-12-25 00:00:00+00:00;2003-12-25 00:00:00+00:00;;;Panama;;7.0;;2.0;;;1075.0;;;;;
2003-0630-IRN;;eq;;2003-12-26 00:00:00+00:00;2003-12-26 00:00:00+00:00;;;Iran (Islamic Republic of);;7.0;;26796.0;;;267628.0;;;795438.0;;
2003-0631-ZMB;;fl;;2003-12-25 00:00:00+00:00;2003-12-25 00:00:00+00:00;;;Zambia;;;;4.0;;;1000.0;;;;;
2003-0633-USA;;ls;;2003-12-25 00:00:00+00:00;2003-12-26 00:00:00+00:00;;;United States of America (the);;;;15.0;;;15.0;;;;;
2003-0636-IND;;cw;;2003-12-15 00:00:00+00:00;;;;India;;;;400.0;;;;;;;;
2003-0641-COD;;fl;;2003-12-14 00:00:00+00:00;2003-12-15 00:00:00+00:00;;;Congo (the Democratic Republic of the);;;;1.0;;;881.0;;;;;
2003-0648-TUR;;eq;;2003-07-26 00:00:00+00:00;2003-07-26 00:00:00+00:00;;;Turkey;;5.0;;;;;240.0;;;;;
2003-0649-IRN;;eq;;2003-12-11 00:00:00+00:00;2003-12-11 00:00:00+00:00;;;Iran (Islamic Republic of);;5.0;;;;;725.0;;;;;
2003-0659-CRI;;fl;;2003-12-12 00:00:00+00:00;2003-12-14 00:00:00+00:00;;;Costa Rica;;770.0;;1.0;;;2500.0;;;;;
2003-0661-HND;;fl;;2003-11-28 00:00:00+00:00;2003-12-24 00:00:00+00:00;;;Honduras;;5300.0;;7.0;;;3000.0;;;31818.0;;
2003-0663-USA;;fl;;2003-11-12 00:00:00+00:00;2003-11-13 00:00:00+00:00;;;United States of America (the);;250.0;;18.0;;;;;;;;
2003-0672-VNM;;fl;;2003-09-10 00:00:00+00:00;2003-09-14 00:00:00+00:00;;;Viet Nam;;31350.0;;15.0;;;1000.0;;;60453.0;;
2003-0681-PAK;;fl;;2003-09-05 00:00:00+00:00;2003-09-09 00:00:00+00:00;;;Pakistan;;3519.0;;36.0;;;20.0;;;;;
2003-0683-IND;;fl;;2003-08-27 00:00:00+00:00;2003-10-20 00:00:00+00:00;;;India;;117900.0;;67.0;;;3000000.0;;;268858.0;;
2003-0706-UGA;;fl;ls;2003-07-01 00:00:00+00:00;2003-07-03 00:00:00+00:00;;;Uganda;Uganda;960.0;;;;20.0;;;700.0;;;
2003-0710-MEX;;fl;;2003-06-12 00:00:00+00:00;2003-06-15 00:00:00+00:00;;;Mexico;;60.0;;;;;800.0;;;;;
2003-0713-VEN;;fl;ls;2003-06-01 00:00:00+00:00;2003-06-03 00:00:00+00:00;;;Venezuela (Bolivarian Republic of);Venezuela (Bolivarian Republic of);6240.0;;;;1.0;;;450.0;;;
2003-0443-CHN;2003-0724-CHN;ew;fl;2003-09-01 00:00:00+00:00;2003-09-03 00:00:00+00:00;2003-09-20 00:00:00+00:00;2003-09-22 00:00:00+00:00;China;China;;2290.0;38.0;13.0;51.0;69925.0;8000.0;77925.0;383401.0;15336.0;398737.0
2003-0728-MWI;;fl;ls;2003-04-05 00:00:00+00:00;2003-04-08 00:00:00+00:00;;;Malawi;Malawi;2420.0;;;;4.0;;;1000.0;;;
2003-0729-KEN;;fl;;2003-01-04 00:00:00+00:00;2003-01-06 00:00:00+00:00;;;Kenya;;390.0;;;;;300.0;;;;;
;2003-0742-ZWE;;fl;;;2003-02-25 00:00:00+00:00;2003-02-28 00:00:00+00:00;;Zimbabwe;;10700.0;;2.0;;;18000.0;;;318175.0;
2003-0210-USA;2003-0756-USA;ew;fl;2003-05-04 00:00:00+00:00;2003-05-10 00:00:00+00:00;2003-05-06 00:00:00+00:00;2003-05-14 00:00:00+00:00;United States of America (the);United States of America (the);;272100.0;45.0;3.0;48.0;15145.0;2000.0;17145.0;6363503.0;27045.0;6390548.0
2003-0759-HTI;;fl;;2003-03-27 00:00:00+00:00;2003-03-29 00:00:00+00:00;;;Haiti;;;;;;;320.0;;;;;
2003-0766-CUB;;fl;;2003-04-01 00:00:00+00:00;;;;Cuba;;;;;;;600.0;;;;;
2003-0767-ECU;;fl;;2003-05-06 00:00:00+00:00;2003-05-06 00:00:00+00:00;;;Ecuador;;;;;;;7905.0;;;;;
2003-0773-VEN;;fl;;2003-08-26 00:00:00+00:00;2003-08-28 00:00:00+00:00;;;Venezuela (Bolivarian Republic of);;;;;;;200.0;;;;;
2003-0779-BGD;;ew;;2003-12-20 00:00:00+00:00;2003-12-20 00:00:00+00:00;;;Bangladesh;;;;28.0;;;;;;;;
2003-0210-USA;2003-0780-USA;ew;ew;2003-05-04 00:00:00+00:00;2003-05-10 00:00:00+00:00;2003-05-30 00:00:00+00:00;2003-05-30 00:00:00+00:00;United States of America (the);United States of America (the);;;45.0;;;15145.0;195.0;15340.0;6363503.0;;
2003-0782-USA;;ew;fl;2003-06-30 00:00:00+00:00;2003-06-30 00:00:00+00:00;;;United States of America (the);United States of America (the);95.0;;;;4.0;;;4.0;;;79544.0
2003-0783-TUR;;eq;;2003-04-10 00:00:00+00:00;2003-04-10 00:00:00+00:00;;;Turkey;;6.0;;;;;170.0;;;;;
2003-0787-IRN;;ls;;2003-02-26 00:00:00+00:00;2003-02-26 00:00:00+00:00;;;Iran (Islamic Republic of);;;;20.0;;;4.0;;;;;
2003-0788-COL;;fl;ls;2003-05-14 00:00:00+00:00;2003-05-28 00:00:00+00:00;;;Colombia;Colombia;;;;;35.0;;;;;;
2003-9064-CHN;;dr;;2003-01-01 00:00:00+00:00;;;;China;;500000.0;;;;;48000000.0;;;;;
2003-9651-RWA;;dr;;2003-03-01 00:00:00+00:00;;;;Rwanda;;;;;;;1000000.0;;;;;
2003-9784-HUN;;dr;;2003-07-01 00:00:00+00:00;;;;Hungary;;;;;;;;;;159088.0;;
2003-9785-ARG;;dr;;2003-06-01 00:00:00+00:00;;;;Argentina;;;;;;;;;;190905.0;;
2004-0004-TON;;ew;;2004-01-06 00:00:00+00:00;2004-01-06 00:00:00+00:00;;;Tonga;;;;;;;;;;;;
2004-0006-BDI;;ew;;2004-01-04 00:00:00+00:00;2004-01-04 00:00:00+00:00;;;Burundi;;;;;;;500.0;;;;;
2004-0011-DZA;;eq;;2004-01-10 00:00:00+00:00;2004-01-10 00:00:00+00:00;;;Algeria;;5.0;;;;;300.0;;;;;
2004-0012-IRQ;;fl;;2004-01-10 00:00:00+00:00;2004-01-19 00:00:00+00:00;;;Iraq;;;;;;;8000.0;;;;;
2004-0022-AFG;;fl;;2004-01-15 00:00:00+00:00;2004-01-17 00:00:00+00:00;;;Afghanistan;;1930.0;;;;;2500.0;;;;;
2004-0026-TUR;;ew;;2004-01-22 00:00:00+00:00;2004-01-25 00:00:00+00:00;;;Turkey;;;;8.0;;;;;;;;
2004-0028-PHL;;fl;;2004-01-23 00:00:00+00:00;2004-01-23 00:00:00+00:00;;;Philippines (the);;;;27.0;;;194.0;;;;;
2004-0029-MDG;;ew;fl;2004-01-26 00:00:00+00:00;2004-02-04 00:00:00+00:00;;;Madagascar;Madagascar;210.0;;;;32.0;;;44290.0;;;
2004-0031-CAN;;ew;cw;2004-01-01 00:00:00+00:00;;;;Canada;Canada;;;;;;;;;;;154939.0
2004-0050-MYS;;fl;;2004-01-24 00:00:00+00:00;2004-02-03 00:00:00+00:00;;;Malaysia;;32620.0;;3.0;;;6900.0;;;;;
2004-0054-PAK;;eq;ls;2004-02-14 00:00:00+00:00;2004-02-14 00:00:00+00:00;;;Pakistan;Pakistan;6.0;;;;24.0;;;13148.0;;;
2004-0067-NZL;;fl;;2004-02-13 00:00:00+00:00;2004-02-25 00:00:00+00:00;;;New Zealand;;;;2.0;;;2500.0;;;309879.0;;
2004-0073-MAR;;eq;;2004-02-24 00:00:00+00:00;2004-02-24 00:00:00+00:00;;;Morocco;;6.0;;628.0;;;13465.0;;;619758.0;;
2004-0074-CAN;;ew;;2004-02-19 00:00:00+00:00;2004-02-19 00:00:00+00:00;;;Canada;;120.0;;;;;;;;;;
2004-0084-IRN;;ew;;2004-02-15 00:00:00+00:00;2004-02-15 00:00:00+00:00;;;Iran (Islamic Republic of);;;;;;;2500.0;;;372.0;;
2004-0087-PHL;;fl;ls;2004-02-11 00:00:00+00:00;2004-02-26 00:00:00+00:00;;;Philippines (the);Philippines (the);20370.0;;;;7.0;;;20000.0;;;
2004-0088-IDN;;eq;;2004-02-16 00:00:00+00:00;2004-02-16 00:00:00+00:00;;;Indonesia;;5.0;;5.0;;;507.0;;;;;
2004-0091-AUS;;fl;;2004-01-14 00:00:00+00:00;2004-02-25 00:00:00+00:00;;;Australia;;1232000.0;;;;;3400.0;;;49581.0;;
2004-0098-IDN;;fl;;2004-02-18 00:00:00+00:00;2004-02-23 00:00:00+00:00;;;Indonesia;;280.0;;5.0;;;13000.0;;;92964.0;;
2004-0104-PNG;;fl;ls;2004-03-05 00:00:00+00:00;2004-03-09 00:00:00+00:00;;;Papua New Guinea;Papua New Guinea;2000.0;;;;;;;10000.0;;;
2004-0105-BDI;;ew;;2004-02-20 00:00:00+00:00;2004-02-20 00:00:00+00:00;;;Burundi;;;;;;;15000.0;;;;;
2004-0111-BDI;;fl;;2004-03-07 00:00:00+00:00;2004-03-07 00:00:00+00:00;;;Burundi;;;;;;;10000.0;;;;;
2004-0119-MYS;;fl;;2004-03-08 00:00:00+00:00;2004-03-11 00:00:00+00:00;;;Malaysia;;;;;;;9138.0;;;;;
2004-0120-KOR;;ew;;2004-03-05 00:00:00+00:00;2004-03-08 00:00:00+00:00;;;Korea (the Republic of);;;;;;;;;;883155.0;;
2004-0126-CHN;;eq;;2004-03-24 00:00:00+00:00;2004-03-24 00:00:00+00:00;;;China;;6.0;;;;;190100.0;;;114655.0;;
2004-0102-ARM-GEO-TUR;2004-0127-TUR;fl;eq;2004-03-05 00:00:00+00:00;2004-03-09 00:00:00+00:00;2004-03-25 00:00:00+00:00;2004-03-25 00:00:00+00:00;Armenia-Georgia-Turkey;Turkey;;6.0;16.0;9.0;25.0;50000.0;4030.0;54030.0;0.0;;
2004-0144-IDN;;ew;;2004-03-30 00:00:00+00:00;2004-03-30 00:00:00+00:00;;;Indonesia;;;;;;;1315.0;;;;;
2004-0145-ESP;;fl;;2004-03-27 00:00:00+00:00;2004-03-28 00:00:00+00:00;;;Spain;;;;;;;600.0;;;22133.0;;
2004-0147-TJK;;eq;ls;2004-04-01 00:00:00+00:00;2004-04-01 00:00:00+00:00;;;Tajikistan;Tajikistan;4.0;;;;;;;180.0;;;
2004-0149-NAM;;fl;;2004-03-01 00:00:00+00:00;;;;Namibia;;;;;;;5000.0;;;;;
2004-0156-PER;;ls;fl;2004-04-10 00:00:00+00:00;2004-04-10 00:00:00+00:00;;;Peru;Peru;;;;;11.0;;;76.0;;;
2004-0164-RUS;;fl;;2004-03-30 00:00:00+00:00;2004-04-09 00:00:00+00:00;;;Russian Federation (the);;840000.0;;;;;1220.0;;;2784.0;;
2004-0172-RUS;;fl;;2004-04-14 00:00:00+00:00;2004-05-18 00:00:00+00:00;;;Russian Federation (the);;264500.0;;18.0;;;4800.0;;;77470.0;;
2004-0178-IND;;fl;;2004-04-10 00:00:00+00:00;2004-04-14 00:00:00+00:00;;;India;;;;;;;5000.0;;;;;
2004-0180-SAU;;fl;;2004-04-14 00:00:00+00:00;2004-04-16 00:00:00+00:00;;;Saudi Arabia;;2680.0;;5.0;;;430.0;;;;;
2004-0200-PER;;fl;ls;2004-05-07 00:00:00+00:00;2004-05-07 00:00:00+00:00;;;Peru;Peru;;;;;;;;7500.0;;;
2004-0201-DZA;;fl;;2004-04-14 00:00:00+00:00;2004-04-16 00:00:00+00:00;;;Algeria;;;;3.0;;;27545.0;;;;;
2004-0202-COL;;fl;ls;2004-01-01 00:00:00+00:00;2004-06-28 00:00:00+00:00;;;Colombia;Colombia;108.0;;;;79.0;;;186096.0;;;
2004-0209-TUR;;fl;;2004-05-14 00:00:00+00:00;2004-05-16 00:00:00+00:00;;;Turkey;;;;6.0;;;;;;;;
2004-0233-SEN;;ew;;2004-05-25 00:00:00+00:00;2004-05-25 00:00:00+00:00;;;Senegal;;;;2.0;;;1000.0;;;;;
2004-0234-IRN;;eq;ls;2004-05-28 00:00:00+00:00;2004-05-28 00:00:00+00:00;;;Iran (Islamic Republic of);Iran (Islamic Republic of);6.0;;;;35.0;;;498.0;;;255650.0
2004-0236-BRA;;fl;ls;2004-06-01 00:00:00+00:00;2004-06-02 00:00:00+00:00;;;Brazil;Brazil;150.0;;;;28.0;;;2254.0;;;573.0
2004-0248-USA;;fl;;2004-05-28 00:00:00+00:00;2004-05-28 00:00:00+00:00;;;United States of America (the);;;;;;;4929.0;;;;;
2004-0250-RUS;;eq;;2004-05-31 00:00:00+00:00;2004-05-31 00:00:00+00:00;;;Russian Federation (the);;5.0;;;;;138.0;;;;;
2004-0252-MKD;;fl;;2004-06-04 00:00:00+00:00;2004-06-07 00:00:00+00:00;;;Macedonia (the former Yugoslav Republic of);;14370.0;;;;;100000.0;;;5578.0;;
2004-0258-VNM;;ew;;2004-06-07 00:00:00+00:00;2004-06-11 00:00:00+00:00;;;Viet Nam;;65.0;;14.0;;;905.0;;;10846.0;;
2004-0259-MEX;;fl;;2004-06-12 00:00:00+00:00;2004-06-12 00:00:00+00:00;;;Mexico;;120.0;;1.0;;;350.0;;;5578.0;;
2004-0267-PHL;;ew;;2004-06-10 00:00:00+00:00;2004-06-10 00:00:00+00:00;;;Philippines (the);;;;7.0;;;4504.0;;;;;
2004-0268-NGA;;fl;;2004-06-17 00:00:00+00:00;2004-06-18 00:00:00+00:00;;;Nigeria;;340.0;;;;;1000.0;;;;;
2004-0274-TUR;;ew;;2004-06-19 00:00:00+00:00;2004-06-19 00:00:00+00:00;;;Turkey;;;;3.0;;;915.0;;;;;
2004-0294-FJI;;fl;ls;2004-06-05 00:00:00+00:00;2004-06-05 00:00:00+00:00;;;Fiji;Fiji;;;;;;;;600.0;;;
2004-0308-TUR;;eq;;2004-07-01 00:00:00+00:00;2004-07-01 00:00:00+00:00;;;Turkey;;5.0;;18.0;;;356.0;;;;;
;2004-0310-CHN;;hw;;;2004-07-02 00:00:00+00:00;2004-07-03 00:00:00+00:00;;China;;39.0;;39.0;;;;;;;
2004-0311-PHL;;fl;;2004-06-28 00:00:00+00:00;2004-06-30 00:00:00+00:00;;;Philippines (the);;2080.0;;15.0;;;1500.0;;;;;
2004-0315-NGA;;fl;;2004-06-22 00:00:00+00:00;2004-06-25 00:00:00+00:00;;;Nigeria;;8720.0;;4.0;;;300.0;;;;;
2004-0317-BRA;;fl;;2004-06-17 00:00:00+00:00;2004-06-18 00:00:00+00:00;;;Brazil;;150.0;;7.0;;;3000.0;;;;;
2004-0321-IND;;fl;ls;2004-06-09 00:00:00+00:00;2004-06-11 00:00:00+00:00;;;India;India;9000.0;;;;45.0;;;1000.0;;;
2004-0328-VNM;;fl;;2004-04-16 00:00:00+00:00;2004-04-17 00:00:00+00:00;;;Viet Nam;;3300.0;;9.0;;;5000.0;;;;;
2004-0333-ALB;;hw;;2004-07-01 00:00:00+00:00;;;;Albania;;38.0;;3.0;;;;;;;;
2004-0338-USA;;ew;fl;2004-06-28 00:00:00+00:00;2004-06-28 00:00:00+00:00;;;United States of America (the);United States of America (the);;;;;4.0;;;313.0;;;263.0
2004-0339-JPN;;fl;ls;2004-07-12 00:00:00+00:00;2004-07-14 00:00:00+00:00;;;Japan;Japan;7060.0;;;;21.0;;;25807.0;;;3021320.0
2004-0349-AFG;;fl;ls;2004-07-13 00:00:00+00:00;2004-07-19 00:00:00+00:00;;;Afghanistan;Afghanistan;78940.0;;;;16.0;;;2000.0;;;
2004-0352-JPN;;hw;;2004-07-01 00:00:00+00:00;;;;Japan;;40.0;;10.0;;;300.0;;;;;
2004-0354-VNM;;fl;ls;2004-07-18 00:00:00+00:00;2004-07-28 00:00:00+00:00;;;Viet Nam;Viet Nam;12020.0;;;;53.0;;;18.0;;;12395.0
2004-0388-RUS;;ew;;2004-07-22 00:00:00+00:00;2004-07-22 00:00:00+00:00;;;Russian Federation (the);;100.0;;6.0;;;62.0;;;9296.0;;
2004-0398-ZAF;;fl;;2004-08-07 00:00:00+00:00;2004-08-09 00:00:00+00:00;;;South Africa;;199.0;;;;;15000.0;;;;;
2004-0400-AUS;;ew;;2004-07-17 00:00:00+00:00;2004-07-18 00:00:00+00:00;;;Australia;;;;;;;600.0;;;;;
