Dis No 1;Dis No 2;Hazard 1;Hazard 2;Start Date 1;End Date 1;Start Date 2;End Date 2;Country 1;Country 2;Magnitude 1;Magnitude 2;Total Deaths 1;Total Deaths 2;Total Deaths 12;Total Affected 1;Total Affected 2;Total Affected 12;Total Damages 1;Total Damages 2;Total Damages 12
2010-0523-MRT;2010-0580-SEN;fl;fl;2010-09-19 00:00:00+00:00;2010-09-21 00:00:00+00:00;2010-10-17 00:00:00+00:00;2010-10-18 00:00:00+00:00;Mauritania;Senegal;11046.0;;;;;8750.0;80391.0;89141.0;;;
2010-0591-IRN;;eq;;2010-11-06 00:00:00+00:00;2010-11-06 00:00:00+00:00;;;Iran (Islamic Republic of);;5.0;;;;;104.0;;;;;
2010-0573-VNM;2010-0597-VNM;fl;fl;2010-10-29 00:00:00+00:00;2010-11-10 00:00:00+00:00;2010-11-12 00:00:00+00:00;2010-11-17 00:00:00+00:00;Viet Nam;Viet Nam;33659.0;45584.0;31.0;50.0;81.0;39008.0;10000.0;49008.0;144545.0;343581.0;488126.0
2010-0601-BEL;;fl;ls;2010-11-11 00:00:00+00:00;2010-11-15 00:00:00+00:00;;;Belgium;Belgium;8458.0;;;;3.0;;;690.0;;;319619.0
2010-0616-VEN;;fl;ls;2010-11-25 00:00:00+00:00;2010-12-06 00:00:00+00:00;;;Venezuela (Bolivarian Republic of);Venezuela (Bolivarian Republic of);180760.0;;;;41.0;;;94800.0;;;228159.0
2010-0625-COL;;ls;;2010-12-05 00:00:00+00:00;2010-12-05 00:00:00+00:00;;;Colombia;;;;145.0;;;;;;;;
2010-0629-IND;;fl;;2010-11-15 00:00:00+00:00;2010-12-07 00:00:00+00:00;;;India;;57474.0;;203.0;;;;;;29526.0;;
2010-0645-IRN;;eq;;2010-12-20 00:00:00+00:00;2010-12-20 00:00:00+00:00;;;Iran (Islamic Republic of);;7.0;;7.0;;;25.0;;;;;
2010-0651-USA;;fl;;2010-12-19 00:00:00+00:00;2010-12-19 00:00:00+00:00;;;United States of America (the);;355567.0;;;;;1000.0;;;;;
2010-0624-AUS;2010-0656-AUS;fl;fl;2010-11-27 00:00:00+00:00;2010-12-06 00:00:00+00:00;2010-12-25 00:00:00+00:00;2011-02-04 00:00:00+00:00;Australia;Australia;832001.0;911256.0;;35.0;;1000.0;175000.0;176000.0;;9797416.0;
2010-0655-CAN-USA;2010-0663-USA;ew;ew;2010-12-26 00:00:00+00:00;2010-12-28 00:00:00+00:00;2010-12-31 00:00:00+00:00;2011-01-01 00:00:00+00:00;Canada-United States of America (the);United States of America (the);;;0.0;8.0;8.0;0.0;13.0;13.0;0.0;;
2010-0668-TWN;;eq;;2010-03-04 00:00:00+00:00;2010-03-04 00:00:00+00:00;;;Taiwan (Province of China);;6.0;;;;;96.0;;;1342112.0;;
2010-0669-AFG;;eq;ls;2010-04-18 00:00:00+00:00;2010-04-18 00:00:00+00:00;;;Afghanistan;Afghanistan;6.0;;;;11.0;;;1070.0;;;
2010-0361-IRN;2010-0672-IRN;eq;eq;2010-07-30 00:00:00+00:00;2010-07-30 00:00:00+00:00;2010-08-27 00:00:00+00:00;2010-08-27 00:00:00+00:00;Iran (Islamic Republic of);Iran (Islamic Republic of);6.0;6.0;;3.0;;274.0;3600.0;3874.0;;;
2010-0682-CHN;;ls;;2010-03-10 00:00:00+00:00;2010-03-10 00:00:00+00:00;;;China;;;;28.0;;;135.0;;;;;
2010-0693-IND;;ew;fl;2010-10-31 00:00:00+00:00;2010-11-03 00:00:00+00:00;;;India;India;100.0;;;;22.0;;;;;;
2010-0698-GAB;;ew;fl;2010-12-01 00:00:00+00:00;;;;Gabon;Gabon;;;;;;;;1765.0;;;
2010-9249-MLI;;dr;;2010-06-01 00:00:00+00:00;;;;Mali;;;;;;;600000.0;;;;;
2010-9253-BOL;;dr;;2010-06-01 00:00:00+00:00;;;;Bolivia (Plurinational State of);;;;;;;62500.0;;;134211.0;;
2010-9556-BRA;;dr;;2010-10-01 00:00:00+00:00;;;;Brazil;;;;;;;62000.0;;;;;
2011-0003-AGO;;fl;;2011-01-03 00:00:00+00:00;2011-01-04 00:00:00+00:00;;;Angola;;;;17.0;;;;;;;;
2011-0007-IND;;cw;;2011-01-01 00:00:00+00:00;2011-01-18 00:00:00+00:00;;;India;;-20.0;;80.0;;;;;;;;
2011-0014-BRA;;fl;ls;2011-01-11 00:00:00+00:00;2011-01-12 00:00:00+00:00;;;Brazil;Brazil;587384.0;;;;900.0;;;45000.0;;;1301040.0
2011-0015-MOZ;;ew;;2011-01-12 00:00:00+00:00;2011-01-12 00:00:00+00:00;;;Mozambique;;;;12.0;;;;;;;;
2011-0020-MYS;;fl;;2011-01-28 00:00:00+00:00;2011-01-31 00:00:00+00:00;;;Malaysia;;62167.0;;2.0;;;20000.0;;;;;
2011-0022-SAU;;fl;;2011-01-25 00:00:00+00:00;2011-01-31 00:00:00+00:00;;;Saudi Arabia;;30361.0;;11.0;;;;;;390312.0;;
2011-0002-CHN;2011-0030-CHN;cw;eq;2011-01-01 00:00:00+00:00;2011-01-24 00:00:00+00:00;2011-02-01 00:00:00+00:00;2011-02-01 00:00:00+00:00;China;China;;5.0;2.0;;;4033472.0;64501.0;4097973.0;365592.0;;
2011-0042-AFG;;fl;;2011-02-10 00:00:00+00:00;2011-02-16 00:00:00+00:00;;;Afghanistan;;63337.0;;25.0;;;3065.0;;;;;
2011-0057-MDG;;ew;fl;2011-02-14 00:00:00+00:00;2011-02-16 00:00:00+00:00;;;Madagascar;Madagascar;180.0;;;;35.0;;;115215.0;;;
2011-0064-PER;;fl;ls;2011-01-01 00:00:00+00:00;;;;Peru;Peru;;;;;6.0;;;10000.0;;;
2011-0065-BDI;;ew;;2011-02-16 00:00:00+00:00;2011-02-16 00:00:00+00:00;;;Burundi;;;;12.0;;;50.0;;;;;
2011-0068-NZL;;eq;;2011-02-22 00:00:00+00:00;2011-02-22 00:00:00+00:00;;;New Zealand;;6.0;;181.0;;;301500.0;;;19515598.0;;
2011-0071-VUT;;ew;;2011-01-12 00:00:00+00:00;2011-01-13 00:00:00+00:00;;;Vanuatu;;;;;;;32000.0;;;;;
2011-0080-AUS;;fl;;2011-03-14 00:00:00+00:00;2011-03-18 00:00:00+00:00;;;Australia;;114051.0;;;;;217.0;;;;;
